#  UTC       Northing(best)   Easting(best)   Altitude(best)   sdn(best)   sde(best)   sda(best)  |  Northing(avg)   Easting(avg)   Altitude(avg)   sdn(avg)   sde(avg)   sda(avg)
2021/10/21   3163352.7179      394112.6100      73.3878         0.0023      0.0054      0.0102    |  3163352.7242    394112.5757      73.3478        0.0057     0.0120     0.0258
2021/10/01   3163352.7145      394112.6170      73.3781         0.0017      0.0037      0.0077    |  3163352.7106    394112.6009      73.3713        0.0040     0.0085     0.0162
2021/10/02   3163352.7183      394112.6081      73.3615         0.0017      0.0037      0.0076    |  3163352.7132    394112.5891      73.3656        0.0039     0.0082     0.0183
2021/10/01   3163352.7145      394112.6170      73.3781         0.0017      0.0037      0.0077    |  3163352.7106    394112.6009      73.3713        0.0040     0.0085     0.0162
2021/10/02   3163352.7183      394112.6081      73.3615         0.0017      0.0037      0.0076    |  3163352.7132    394112.5891      73.3656        0.0039     0.0082     0.0183
2021/10/03   3163352.7185      394112.6189      73.3670         0.0017      0.0037      0.0076    |  3163352.7154    394112.5995      73.3589        0.0038     0.0073     0.0170
2021/10/04   3163352.7234      394112.6195      73.3886         0.0023      0.0055      0.0101    |  3163352.7232    394112.5944      73.3691        0.0053     0.0110     0.0225
2021/10/05   3163352.7235      394112.5437      73.3279         0.0048      0.0119      0.0215    |  3163352.7131    394112.5650      73.3145        0.0095     0.0223     0.0328
2021/10/06   3163352.7200      394112.6195      73.3664         0.0022      0.0054      0.0096    |  3163352.7147    394112.6167      73.3640        0.0041     0.0116     0.0159
2021/10/07   3163352.7169      394112.6271      73.3824         0.0017      0.0037      0.0077    |  3163352.7145    394112.6071      73.3627        0.0036     0.0071     0.0148
2021/10/08   3163352.7215      394112.6228      73.3576         0.0018      0.0038      0.0080    |  3163352.7203    394112.5992      73.3489        0.0036     0.0080     0.0156
2021/10/09   3163352.7188      394112.6216      73.3688         0.0019      0.0041      0.0088    |  3163352.7179    394112.5979      73.3500        0.0041     0.0083     0.0177
2021/10/10   3163352.7191      394112.6195      73.3734         0.0024      0.0056      0.0105    |  3163352.7157    394112.5992      73.3570        0.0046     0.0126     0.0197
2021/10/11   3163352.7186      394112.6015      73.3630         0.0022      0.0048      0.0103    |  3163352.7188    394112.5838      73.3583        0.0046     0.0109     0.0198
2021/10/12   3163352.7196      394112.5581      73.3387         0.0069      0.0191      0.0307    |  3163352.7083    394112.5814      73.3923        0.0106     0.0260     0.0445
2021/10/13   3163352.7268      394112.6206      73.3997         0.0025      0.0058      0.0112    |  3163352.7240    394112.6156      73.4053        0.0043     0.0104     0.0176
2021/10/14   3163352.7130      394112.6153      73.3864         0.0025      0.0059      0.0111    |  3163352.7117    394112.6076      73.3970        0.0054     0.0099     0.0163
2021/10/15   3163352.7146      394112.6088      73.3364         0.0021      0.0052      0.0096    |  3163352.7117    394112.5780      73.3334        0.0050     0.0110     0.0206
2021/10/16   3163352.7184      394112.5972      73.3399         0.0020      0.0045      0.0090    |  3163352.7159    394112.5742      73.3194        0.0045     0.0091     0.0205
2021/10/17   3163352.7161      394112.6129      73.3524         0.0021      0.0053      0.0097    |  3163352.7145    394112.5759      73.3286        0.0051     0.0125     0.0221
2021/10/18   3163352.7117      394112.6137      73.3769         0.0017      0.0037      0.0078    |  3163352.7092    394112.5935      73.3744        0.0043     0.0082     0.0193
2021/10/19   3163352.7256      394112.6133      73.3665         0.0033      0.0070      0.0147    |  3163352.7254    394112.5840      73.3111        0.0080     0.0155     0.0342
2021/10/20   3163352.7191      394112.6140      73.3707         0.0023      0.0056      0.0100    |  3163352.7219    394112.5820      73.3241        0.0042     0.0096     0.0179
2021/10/21   3163352.7179      394112.6100      73.3878         0.0023      0.0054      0.0102    |  3163352.7242    394112.5757      73.3478        0.0057     0.0120     0.0258
2021/10/01   3163352.7145      394112.6170      73.3781         0.0017      0.0037      0.0077    |  3163352.7106    394112.6009      73.3713        0.0040     0.0085     0.0162
2021/10/02   3163352.7183      394112.6081      73.3615         0.0017      0.0037      0.0076    |  3163352.7132    394112.5891      73.3656        0.0039     0.0082     0.0183
2021/10/03   3163352.7185      394112.6189      73.3670         0.0017      0.0037      0.0076    |  3163352.7154    394112.5995      73.3589        0.0038     0.0073     0.0170
2021/10/04   3163352.7234      394112.6195      73.3886         0.0023      0.0055      0.0101    |  3163352.7232    394112.5944      73.3691        0.0053     0.0110     0.0225
2021/10/05   3163352.7235      394112.5437      73.3279         0.0048      0.0119      0.0215    |  3163352.7131    394112.5650      73.3145        0.0095     0.0223     0.0328
2021/10/06   3163352.7200      394112.6195      73.3664         0.0022      0.0054      0.0096    |  3163352.7147    394112.6167      73.3640        0.0041     0.0116     0.0159
2021/10/07   3163352.7169      394112.6271      73.3824         0.0017      0.0037      0.0077    |  3163352.7145    394112.6071      73.3627        0.0036     0.0071     0.0148
2021/10/08   3163352.7215      394112.6228      73.3576         0.0018      0.0038      0.0080    |  3163352.7203    394112.5992      73.3489        0.0036     0.0080     0.0156
2021/10/09   3163352.7188      394112.6216      73.3688         0.0019      0.0041      0.0088    |  3163352.7179    394112.5979      73.3500        0.0041     0.0083     0.0177
2021/10/10   3163352.7191      394112.6195      73.3734         0.0024      0.0056      0.0105    |  3163352.7157    394112.5992      73.3570        0.0046     0.0126     0.0197
2021/10/11   3163352.7186      394112.6015      73.3630         0.0022      0.0048      0.0103    |  3163352.7188    394112.5838      73.3583        0.0046     0.0109     0.0198
2021/10/12   3163352.7196      394112.5581      73.3387         0.0069      0.0191      0.0307    |  3163352.7083    394112.5814      73.3923        0.0106     0.0260     0.0445
2021/10/13   3163352.7268      394112.6206      73.3997         0.0025      0.0058      0.0112    |  3163352.7240    394112.6156      73.4053        0.0043     0.0104     0.0176
2021/10/14   3163352.7130      394112.6153      73.3864         0.0025      0.0059      0.0111    |  3163352.7117    394112.6076      73.3970        0.0054     0.0099     0.0163
2021/10/15   3163352.7146      394112.6088      73.3364         0.0021      0.0052      0.0096    |  3163352.7117    394112.5780      73.3334        0.0050     0.0110     0.0206
2021/10/16   3163352.7184      394112.5972      73.3399         0.0020      0.0045      0.0090    |  3163352.7159    394112.5742      73.3194        0.0045     0.0091     0.0205
2021/10/17   3163352.7161      394112.6129      73.3524         0.0021      0.0053      0.0097    |  3163352.7145    394112.5759      73.3286        0.0051     0.0125     0.0221
2021/10/18   3163352.7117      394112.6137      73.3769         0.0017      0.0037      0.0078    |  3163352.7092    394112.5935      73.3744        0.0043     0.0082     0.0193
2021/10/19   3163352.7256      394112.6133      73.3665         0.0033      0.0070      0.0147    |  3163352.7254    394112.5840      73.3111        0.0080     0.0155     0.0342
2021/10/20   3163352.7191      394112.6140      73.3707         0.0023      0.0056      0.0100    |  3163352.7219    394112.5820      73.3241        0.0042     0.0096     0.0179
2021/10/21   3163352.7179      394112.6100      73.3878         0.0023      0.0054      0.0102    |  3163352.7242    394112.5757      73.3478        0.0057     0.0120     0.0258
